geo_accession,Seq,hsa-miR-320a,hsa-miR-575,hsa-miR-602,hsa-miR-614,hsa-miR-620,hsa-miR-638,hsa-miR-663a,hsa-miR-92a-2-5p,hsa-miR-135a-3p,hsa-miR-125a-3p,hsa-miR-92b-5p,hsa-miR-885-3p,hsa-miR-887-3p,hsa-miR-939-5p,hsa-miR-1228-5p,hsa-miR-1203,hsa-miR-1258,hsa-miR-1262,hsa-miR-1268a,hsa-miR-1307-3p,hsa-miR-1469,hsa-miR-1909-3p,hsa-miR-1915-3p,hsa-miR-3141,hsa-miR-3156-5p,hsa-miR-3178,hsa-miR-3180-3p,hsa-miR-3184-5p,hsa-miR-3187-3p,hsa-miR-3194-5p,hsa-miR-4294,hsa-miR-4276,hsa-miR-4286,hsa-miR-3180,hsa-miR-642b-3p,hsa-miR-4433a-3p,hsa-miR-4435,hsa-miR-4449,hsa-miR-4464,hsa-miR-4481,hsa-miR-4492,hsa-miR-4526,hsa-miR-4530,hsa-miR-4532,hsa-miR-3940-5p,hsa-miR-4634,hsa-miR-4648,hsa-miR-4649-5p,hsa-miR-4675,hsa-miR-4687-5p,hsa-miR-4707-3p,hsa-miR-4728-5p,hsa-miR-4730,hsa-miR-4734,hsa-miR-4741,hsa-miR-4746-3p,hsa-miR-4758-5p,hsa-miR-4783-3p,hsa-miR-4787-5p,hsa-miR-5195-3p,hsa-miR-5572,hsa-miR-197-5p,hsa-miR-1233-5p,hsa-miR-1238-5p,hsa-miR-6088,hsa-miR-6090,hsa-miR-6131,hsa-miR-6501-5p,hsa-miR-128-1-5p,hsa-miR-328-5p,hsa-miR-1343-5p,hsa-miR-6729-5p,hsa-miR-6749-5p,hsa-miR-6756-5p,hsa-miR-6765-5p,hsa-miR-6766-5p,hsa-miR-6768-5p,hsa-miR-6769a-5p,hsa-miR-6781-5p,hsa-miR-6784-5p,hsa-miR-6786-5p,hsa-miR-6787-5p,hsa-miR-6798-5p,hsa-miR-6802-5p,hsa-miR-6805-5p,hsa-miR-6805-3p,hsa-miR-6816-5p,hsa-miR-6825-5p,hsa-miR-6858-5p,hsa-miR-6861-5p,hsa-miR-6869-5p,hsa-miR-6875-5p,hsa-miR-6885-5p,hsa-miR-6889-5p,hsa-miR-7110-5p,hsa-miR-7114-5p,hsa-miR-7704,hsa-miR-8059,hsa-miR-8069,hsa-miR-8073,Breast Cancer
2850709,8,6.957,3.919,5.502,9.803,0.333,12.101,12.696,6.25,5.459,5.233,10.47,5.634,5.686,5.665,10.628,0.333,4.7,0.333,10.627,9.242,12.454,7.832,9.933,8.293,6.009,11.021,8.826,5.841,4.983,0.333,9.761,4.601,7.043,7.802,9.652,7.81,4.884,4.46,4.981,0.333,10.424,0.333,8.902,14.062,10.923,7.514,0.512,10.857,8.524,6.364,5.938,7.47,7.192,13.646,9.084,6.129,9.075,8.933,12.752,6.985,5.862,8.43,12.13,7.117,11.656,14.043,11.43,0.333,5.402,11.593,9.25,11.859,9.912,8.651,9.845,6.502,9.106,7.012,9.479,11.471,11.984,9.008,9.971,8.68,10.036,7.017,9.914,6.324,8.725,7.736,12.525,7.745,11.772,6.347,7.339,7.09,13.181,9.707,11.998,7.489,1
2850710,6,7.994,6.446,1.941,11.966,5.821,13.279,12.707,1.941,1.941,1.941,9.388,1.941,7.014,6.696,10.86,1.941,1.941,1.941,10.819,10.067,12.529,8.465,10.949,7.96,1.941,11.882,8.467,1.941,1.941,1.941,8.561,1.941,6.834,8.001,9.777,6.485,1.941,1.941,6.848,1.941,10.547,1.941,8.432,15.563,11.309,8.688,1.941,11.272,8.855,7.675,6.57,6.785,6.794,15.203,9.29,7.035,9.464,8.539,13.329,7.726,4.08,6.818,12.023,4.407,11.763,14.61,14.123,1.941,1.941,11.762,9.142,12.63,9.911,8.409,9.892,7.081,8.261,6.582,9.636,11.247,12.384,9.197,10.433,8.613,10.918,6.738,9.805,1.941,8.369,8.267,13.364,6.944,12.04,1.941,5.262,1.941,13.577,12.039,12.818,7.127,1
2850711,6,7.615,4.607,5.449,10.046,0.371,12.379,11.225,6.672,5.337,0.371,8.326,6.229,5.662,6.085,10.768,4.267,0.371,0.371,10.78,9.431,11.087,8.601,10.356,7.914,2.934,11.151,8.191,4.394,5.336,0.371,9.322,0.371,7.441,8.776,8.562,7.636,0.371,6.263,3.878,5.758,9.426,3.774,8.327,15.079,11.297,8.107,5.576,10.923,9.064,5.467,6.499,7.461,7.375,14.155,8.776,3.548,9.27,8.92,12.782,6.967,6.291,7.162,11.824,5.57,11.98,13.649,12.158,4.166,7.106,11.726,9.752,11.897,9.439,9.131,9.995,4.775,8.648,6.739,9.586,11.687,12.1,9.453,10.133,8.861,10.56,7.336,9.623,0.371,7.795,8.201,12.731,7.735,11.375,5.802,6.516,4.605,12.936,10.225,12.234,7.163,1
2850712,3,5.866,4.992,0.415,10.258,0.415,12.137,11.996,7.145,4.515,0.415,9.455,0.415,5.333,3.107,10.772,0.415,5.175,6.727,10.921,9.238,11.739,8.144,9.724,6.768,7.541,10.988,8.682,5.501,6.407,5.643,9.437,0.415,7.622,8.489,9.589,7.894,6.389,6.6,4.446,5.117,9.746,0.415,8.969,14.701,10.759,7.09,6.277,10.929,9.375,7.278,7.146,6.597,5.934,14.505,9.133,4.988,9.718,9.14,12.63,8.408,0.415,8.609,12.788,6.119,11.681,13.974,12.497,6.119,0.415,11.858,9.043,11.786,9.721,8.817,10.091,6.457,8.407,6.829,9.887,11.062,12.002,9.628,10.396,8.75,10.544,3.635,9.818,6.278,7.805,7.782,12.63,7.367,11.375,0.415,6.238,0.415,12.84,11.018,12.18,8.506,1
2850713,4,6.783,5.281,2.547,10.173,-0.586,12.486,11.845,5.76,3.832,-0.586,9.446,5.426,5.762,6.439,10.817,3.596,-0.586,-0.586,10.66,9.366,11.801,8.503,10.285,8.196,4.649,11.26,8.364,5.302,7.32,-0.586,9.355,2.303,7.479,8.623,9.839,7.664,-0.586,7.178,-0.586,8.434,9.968,2.846,8.493,14.904,10.952,8.006,6.016,11.376,9.14,7.252,5.751,7.835,7.699,14.398,9.26,6.05,9.382,8.27,12.748,8.288,4.957,7.99,12.026,6.903,11.763,13.945,12.697,8.234,3.887,11.851,9.53,12.039,9.843,9.049,10.084,6.543,8.696,7.75,9.98,11.434,12.153,9.256,10.152,8.871,10.693,6.921,9.941,5.849,8.759,8.039,13.239,8.548,11.739,6.288,6.848,6.838,13.088,10.297,12.232,7.554,1
2850714,8,6.926,-0.036,2.387,10.422,-0.036,12.423,11.981,6.813,-0.036,3.702,9.441,7.367,3.558,5.191,10.621,-0.036,-0.036,5.316,10.413,9.992,11.969,8.178,10.324,7.318,7.097,11.504,8.014,5.884,5.388,2.836,9.083,-0.036,6.955,8.62,9.466,7.455,-0.036,7.383,-0.036,6.864,9.793,2.377,9.023,14.991,11.223,8.447,6.475,11.293,9.491,6.351,2.026,8.385,7.19,14.631,8.753,5.647,9.819,9.313,12.881,7.58,3.406,8.072,12.221,6.056,11.592,13.946,12.485,2.125,6.748,11.692,9.317,12.068,10.125,9.211,10.09,8.472,7.89,7.9,9.678,11.201,11.933,9.567,9.527,8.528,10.614,6.578,9.554,6.294,8.654,8.108,12.555,7.705,11.858,6.453,7.914,5.543,13.339,10.675,12.43,7.876,1
2850716,8,6.026,6.179,3.515,9.551,-0.642,12.267,11.693,6.812,6.545,6.182,9.42,7.014,5.35,6.594,11.01,2.575,6.102,-0.642,11.151,9.337,11.529,8.112,10.256,8.401,4.239,11.194,8.69,5.908,5.469,-0.642,9.471,4.328,6.797,8.462,9.669,8.036,-0.642,6.132,6.42,1.869,10.002,-0.642,8.775,14.415,11.455,8.415,2.958,11.03,8.524,5.635,6.23,7.403,7.538,13.975,9.155,4.56,9.468,8.641,12.637,7.456,6.199,8.096,12.238,5.19,11.887,13.685,11.673,-0.642,5.644,11.695,9.608,12.045,10.107,8.888,10.251,5.326,8.908,7.429,9.858,11.627,12.012,8.975,10.436,8.751,10.526,6.611,10.166,6.148,8.687,8.065,12.361,8.081,11.418,7.033,6.489,6.368,12.968,9.821,12.242,7.485,1
2850717,9,6.642,4.933,-0.874,9.392,-0.874,12.558,11.887,7.554,-0.874,-0.874,9.432,2.498,4.675,6.218,10.708,-0.874,-0.874,-0.874,10.474,8.887,11.742,8.062,10.322,7.517,6.364,11.164,8.078,4.635,5.906,4.272,9.189,-0.874,7.987,8.457,9.521,7.484,4.425,6.27,-0.874,-0.874,9.988,3.803,8.638,14.434,11.334,8.514,6.688,11.285,8.6,6.682,-0.874,7.083,8.044,13.615,8.897,6.086,8.954,8.582,12.878,7.073,4.558,7.92,12.071,6.807,11.657,13.85,13.014,-0.874,0.579,11.556,9.326,12.053,9.786,8.581,10.016,4.635,8.896,5.983,9.451,11.492,12.056,9.122,9.872,8.22,10.352,6.426,9.779,3.291,8.134,7.439,12.996,7.725,11.74,6.519,6.131,4.372,13.207,9.649,12.225,6.638,1
2850718,8,6.678,6.101,0.905,11.023,0.905,12.172,12.468,0.905,9.267,0.905,10.224,0.905,7.476,4.067,10.781,6.951,6.721,0.905,10.623,8.658,12.261,8.101,9.479,8.775,8.954,11.232,9.037,0.905,0.905,0.905,10.043,0.905,7.486,7.935,10.302,7.74,0.905,0.905,0.905,0.905,10.399,0.905,8.17,14.108,10.859,7.488,0.905,11.591,8.141,9.919,6.098,7.733,7.959,13.822,8.611,0.905,8.659,8.439,12.559,6.362,2.723,7.878,12.939,9.328,12.057,14.123,12.343,0.905,0.905,11.754,9.11,11.731,9.863,9.035,10.222,5.458,9.116,7.224,9.544,11.124,11.889,9.324,10.01,9.449,10.073,8.893,9.823,0.905,8.721,7.104,12.397,8.396,11.986,7.695,0.905,6.538,12.838,11.379,11.938,5.36,1
2850720,5,7.727,6.186,6.124,11.03,2.872,12.228,12.259,7.305,7.026,6.042,10.132,8.049,6.551,7.07,10.683,6.298,5.258,3.377,10.919,8.735,12.059,7.571,10.043,8.336,7.623,11.248,8.878,6.653,3.415,0.688,10.665,4.567,7.834,8.154,9.918,8.216,5.674,6.036,6.307,3.694,9.948,0.688,8.994,13.168,10.995,7.777,3.148,11.272,8.087,8.298,5.844,7.954,7.119,13.199,9.069,3.831,9.021,8.793,12.441,8.402,6.445,8.216,12.626,8.507,11.873,13.74,12.255,0.688,6.886,11.623,9.478,11.712,9.852,8.879,10.398,6.059,9.448,8.501,9.75,11.315,11.927,9.682,10.445,9.258,10.161,8.104,9.927,6.406,8.892,8.117,12.634,8.281,11.702,7.844,7.251,7.922,12.855,11.238,11.806,7.628,1
